"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"LAC","MEM",99,73,FALSE,7,4.60000000000001,-2.39999999999999
2013,"OKC","PHO",102,90,FALSE,9.80000000000001,-6.89999999999999,-16.7
2013,"CLE","SAC",118,124,TRUE,-5.10000000000001,-5.2,-0.0999999999999943
2013,"MIA","UTA",97,104,TRUE,8.59999999999999,-0.0999999999999943,-8.69999999999999
2013,"ORL","WAS",91,120,TRUE,-7.5,-2.8,4.7
2013,"TOR","BRK",106,113,TRUE,-1.59999999999999,2,3.59999999999999
2013,"IND","CHA",103,76,FALSE,4.5,-10,-14.5
2013,"POR","DEN",111,115,TRUE,-3.40000000000001,5.30000000000001,8.70000000000002
2013,"LAC","HOU",117,109,FALSE,7,3.60000000000001,-3.39999999999999
2013,"MIL","LAL",88,104,TRUE,-1.60000000000001,1.2,2.80000000000001
2013,"NOH","PHI",111,99,FALSE,-4.39999999999999,-3.7,0.699999999999989
2013,"BRK","ATL",95,109,TRUE,2,0.399999999999991,-1.60000000000001
2013,"NOH","BOS",90,78,FALSE,-4.39999999999999,-0.200000000000003,4.19999999999999
2013,"HOU","DAL",100,105,TRUE,3.60000000000001,-0.599999999999994,-4.2
2013,"MIA","GSW",92,75,FALSE,8.59999999999999,0.900000000000006,-7.69999999999999
2013,"DEN","OKC",97,117,TRUE,5.30000000000001,9.80000000000001,4.5
2013,"IND","ORL",86,97,TRUE,4.5,-7.5,-12
2013,"CLE","POR",93,88,FALSE,-5.10000000000001,-3.40000000000001,1.7
2013,"WAS","SAC",94,95,TRUE,-2.8,-5.2,-2.40000000000001
2013,"MEM","SAS",82,103,TRUE,4.60000000000001,6.7,2.09999999999999
2013,"CHI","TOR",107,105,FALSE,0.299999999999997,-1.59999999999999,-1.89999999999999
2013,"NYK","DET",102,87,FALSE,4.8,-4.3,-9.09999999999999
2013,"MIA","LAL",99,90,FALSE,8.59999999999999,1.2,-7.39999999999999
2013,"LAC","MIN",90,77,FALSE,7,-2.5,-9.5
2013,"MIL","PHO",98,94,FALSE,-1.60000000000001,-6.89999999999999,-5.29999999999998
2013,"CHI","BOS",100,99,FALSE,0.299999999999997,-0.200000000000003,-0.5
2013,"ATL","BRK",89,94,TRUE,0.399999999999991,2,1.60000000000001
2013,"OKC","DAL",117,114,FALSE,9.80000000000001,-0.599999999999994,-10.4
2013,"WAS","DEN",112,108,FALSE,-2.8,5.30000000000001,8.10000000000001
2013,"HOU","IND",95,105,TRUE,3.60000000000001,4.5,0.899999999999991
2013,"SAC","MEM",69,85,TRUE,-5.2,4.60000000000001,9.80000000000001
2013,"CHA","ORL",106,100,FALSE,-10,-7.5,2.5
2013,"TOR","PHI",101,108,TRUE,-1.59999999999999,-3.7,-2.10000000000001
2013,"GSW","SAS",88,95,TRUE,0.900000000000006,6.7,5.8
2013,"SAS","ATL",98,93,FALSE,6.7,0.399999999999991,-6.30000000000001
2013,"SAC","CHA",97,93,FALSE,-5.2,-10,-4.8
2013,"MEM","CHI",85,82,FALSE,4.60000000000001,0.299999999999997,-4.30000000000001
2013,"WAS","LAC",87,94,TRUE,-2.8,7,9.8
2013,"HOU","MIN",79,92,TRUE,3.60000000000001,-2.5,-6.10000000000001
2013,"GSW","NOH",116,112,FALSE,0.900000000000006,-4.39999999999999,-5.3
2013,"MIL","POR",110,104,FALSE,-1.60000000000001,-3.40000000000001,-1.8
