"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Jawun Evans","LAC",701,41.2,18.7,"PG",109.4,110.2
"Tyreke Evans","MEM",1404,55.9,28.4,"PG",108.4,102.6
"Kenneth Faried","DEN",446,56.6,18.1,"PF",106.8,110.4
"Derrick Favors","UTA",1293,58.1,19.1,"C",106,107.1
"Kay Felder","CHI",134,38.6,28.2,"PG",93.1,105.5
"Cristiano Felicio","CHI",342,62.2,12,"C",91.4,106.9
"Raymond Felton","OKC",832,50.8,20.1,"PG",105.3,112.6
"Terrance Ferguson","OKC",428,50.6,11.6,"SG",109.6,110.2
"Yogi Ferrell","DAL",1446,56.6,16.2,"SG",107.4,106.7
"Dorian Finney-Smith","DAL",94,56.8,14.6,"PF",97.8,107.5
"Bryn Forbes","SAS",1071,52.6,16.9,"SG",107.5,106.9
"Evan Fournier","ORL",1313,57.8,23.3,"SF",107.3,105
"De'Aaron Fox","SAC",1091,46.9,22.9,"PG",101.8,104.4
"Tim Frazier","WAS",550,50,12.9,"PG",103.8,111.1
"Channing Frye","CLE",435,60.3,14.5,"C",119.4,110.2
"Markelle Fultz","PHI",76,37.2,21.4,"SG",82.8,108.2
"Danilo Gallinari","LAC",349,47.5,21.3,"SF",108.3,110.2
"Langston Galloway","DET",587,52.4,19.1,"SG",105.4,107.4
"Marc Gasol","MEM",1619,53,26.2,"C",105.3,108.2
"Pau Gasol","SAS",1216,55.5,19.8,"C",105.1,109.2
"Rudy Gay","SAS",771,55.7,23.6,"PF",107.6,106.9
"Paul George","OKC",1674,57.1,25.1,"SF",109.7,110.9
"Marcus Georges-Hunt","MIN",184,46.7,11.8,"SG",111.7,113.9
"Taj Gibson","MIN",1752,60.6,14.6,"PF",115.1,110.6
"Manu Ginobili","SAS",759,56.7,21.2,"SG",108.5,106.5
"Rudy Gobert","UTA",694,62.2,17.9,"C",100.9,108.8
"Aaron Gordon","ORL",1325,54.7,24,"PF",108.5,103.4
"Eric Gordon","HOU",1471,56.8,25.8,"SG",117.8,110.8
"Marcin Gortat","WAS",1298,55.6,15.2,"C",108.9,110.3
"Treveon Graham","CHO",591,54.2,12.2,"SG",102.7,108.9
"Jerami Grant","OKC",969,56.3,15,"PF",106.3,112.7
"Jerian Grant","CHI",1083,52.6,17.4,"PG",105.5,104.2
"Danny Green","SAS",1058,51.5,16.2,"SG",106.7,107.5
"Draymond Green","GSW",1399,57.3,17,"PF",116.1,116.1
"Gerald Green","HOU",271,59.7,22.5,"SG",110.9,116
"JaMychal Green","MEM",804,54.1,18.5,"PF",106.8,105.8
"Jeff Green","CLE",1050,59.6,20.2,"PF",111.5,112.3
"Blake Griffin","LAC",1101,55.2,29.6,"PF",111.4,108.7
