"away","home"
"Portland Trail Blazers","Boston Celtics"
"Milwaukee Bucks","Brooklyn Nets"
"Atlanta Hawks","New York Knicks"
"Los Angeles Lakers","Oklahoma City Thunder"
"Charlotte Hornets","Phoenix Suns"
"Memphis Grizzlies","Toronto Raptors"
"Charlotte Hornets","Denver Nuggets"
"Portland Trail Blazers","Detroit Pistons"
"Washington Wizards","Indiana Pacers"
"Dallas Mavericks","Los Angeles Clippers"
"Orlando Magic","Miami Heat"
"Utah Jazz","New Orleans Pelicans"
"Chicago Bulls","Sacramento Kings"
"Memphis Grizzlies","Atlanta Hawks"
"Houston Rockets","Brooklyn Nets"
"Oklahoma City Thunder","Golden State Warriors"
"Phoenix Suns","Los Angeles Lakers"
"Milwaukee Bucks","New York Knicks"
"Cleveland Cavaliers","Orlando Magic"
"Washington Wizards","Philadelphia 76ers"
"Boston Celtics","Toronto Raptors"
"Minnesota Timberwolves","Cleveland Cavaliers"
"Brooklyn Nets","Detroit Pistons"
"Utah Jazz","Memphis Grizzlies"
"Houston Rockets","Miami Heat"
"Indiana Pacers","New Orleans Pelicans"
"San Antonio Spurs","Phoenix Suns"
"Dallas Mavericks","Golden State Warriors"
"Oklahoma City Thunder","Los Angeles Lakers"
"Atlanta Hawks","Orlando Magic"
"Charlotte Hornets","Portland Trail Blazers"
"New York Knicks","Toronto Raptors"
"Boston Celtics","Washington Wizards"
"Cleveland Cavaliers","Atlanta Hawks"
"Indiana Pacers","Boston Celtics"
"Minnesota Timberwolves","Chicago Bulls"
"Los Angeles Clippers","Detroit Pistons"
"Denver Nuggets","Houston Rockets"
"Milwaukee Bucks","Miami Heat"
"New Orleans Pelicans","Philadelphia 76ers"
"Portland Trail Blazers","Sacramento Kings"
"Charlotte Hornets","Utah Jazz"
"New Orleans Pelicans","Brooklyn Nets"
"Washington Wizards","Chicago Bulls"
"Los Angeles Lakers","Dallas Mavericks"
"San Antonio Spurs","Golden State Warriors"
"Milwaukee Bucks","Orlando Magic"
"Los Angeles Clippers","Philadelphia 76ers"
"Denver Nuggets","Phoenix Suns"
"Detroit Pistons","Atlanta Hawks"
"Cleveland Cavaliers","Boston Celtics"
"Toronto Raptors","Charlotte Hornets"
"Dallas Mavericks","Houston Rockets"
"New York Knicks","Indiana Pacers"
"Sacramento Kings","Minnesota Timberwolves"
"Memphis Grizzlies","Oklahoma City Thunder"
"Utah Jazz","Portland Trail Blazers"
"Los Angeles Clippers","Brooklyn Nets"
"Orlando Magic","Chicago Bulls"
"New Orleans Pelicans","Detroit Pistons"
"Phoenix Suns","Golden State Warriors"
"New York Knicks","Philadelphia 76ers"
"San Antonio Spurs","Utah Jazz"
"Sacramento Kings","Dallas Mavericks"
"San Antonio Spurs","Denver Nuggets"
"Atlanta Hawks","Milwaukee Bucks"
"Houston Rockets","Minnesota Timberwolves"
"Cleveland Cavaliers","Oklahoma City Thunder"
"Miami Heat","Toronto Raptors"
"Los Angeles Clippers","Boston Celtics"
"Indiana Pacers","Brooklyn Nets"
"Toronto Raptors","Chicago Bulls"
"Atlanta Hawks","Detroit Pistons"
"Sacramento Kings","Houston Rockets"
"Oklahoma City Thunder","Memphis Grizzlies"
"Los Angeles Lakers","New Orleans Pelicans"
"Washington Wizards","New York Knicks"
"Charlotte Hornets","Orlando Magic"
"Miami Heat","Philadelphia 76ers"
"Golden State Warriors","Portland Trail Blazers"
"Phoenix Suns","Utah Jazz"
"Denver Nuggets","Milwaukee Bucks"
"Los Angeles Lakers","Minnesota Timberwolves"
"Philadelphia 76ers","Chicago Bulls"
"Brooklyn Nets","Charlotte Hornets"
"Washington Wizards","Cleveland Cavaliers"
"Los Angeles Clippers","Golden State Warriors"
"New York Knicks","Orlando Magic"
"Oklahoma City Thunder","Sacramento Kings"
"San Antonio Spurs","Denver Nuggets"
"Boston Celtics","Detroit Pistons"
"Minnesota Timberwolves","Houston Rockets"
"Atlanta Hawks","Indiana Pacers"
"Dallas Mavericks","Los Angeles Lakers"
"Cleveland Cavaliers","Memphis Grizzlies"
"Miami Heat","New Orleans Pelicans"
"Los Angeles Clippers","Phoenix Suns"
"Milwaukee Bucks","Toronto Raptors"
"Portland Trail Blazers","Utah Jazz"
"Charlotte Hornets","Washington Wizards"
"Oklahoma City Thunder","Golden State Warriors"
"Memphis Grizzlies","Miami Heat"
"Chicago Bulls","Minnesota Timberwolves"
"Boston Celtics","New York Knicks"
"Orlando Magic","Philadelphia 76ers"
"Portland Trail Blazers","Phoenix Suns"
"Los Angeles Lakers","Sacramento Kings"
"Dallas Mavericks","Utah Jazz"
"Detroit Pistons","Charlotte Hornets"
"San Antonio Spurs","Cleveland Cavaliers"
"Houston Rockets","Denver Nuggets"
"New Orleans Pelicans","Milwaukee Bucks"
"Philadelphia 76ers","Washington Wizards"
"Los Angeles Lakers","Atlanta Hawks"
"Memphis Grizzlies","Boston Celtics"
"Chicago Bulls","Brooklyn Nets"
"Indiana Pacers","Dallas Mavericks"
"Phoenix Suns","New Orleans Pelicans"
"Golden State Warriors","New York Knicks"
"Orlando Magic","Oklahoma City Thunder"
"Minnesota Timberwolves","Sacramento Kings"
"Detroit Pistons","Toronto Raptors"
"Houston Rockets","Utah Jazz"
"Chicago Bulls","Charlotte Hornets"
"Brooklyn Nets","Cleveland Cavaliers"
"Los Angeles Clippers","Denver Nuggets"
"Philadelphia 76ers","Miami Heat"
"Washington Wizards","Milwaukee Bucks"
"Sacramento Kings","Portland Trail Blazers"
"Indiana Pacers","Atlanta Hawks"
"Charlotte Hornets","Boston Celtics"
"Oklahoma City Thunder","Dallas Mavericks"
"Milwaukee Bucks","Detroit Pistons"
"Houston Rockets","Los Angeles Clippers"
"Phoenix Suns","Memphis Grizzlies"
"Toronto Raptors","Orlando Magic"
"New Orleans Pelicans","San Antonio Spurs"
"Golden State Warriors","Washington Wizards"
"Philadelphia 76ers","Cleveland Cavaliers"
"Los Angeles Lakers","Miami Heat"
"Minnesota Timberwolves","Portland Trail Blazers"
"Brooklyn Nets","Sacramento Kings"
"Golden State Warriors","Atlanta Hawks"
"Dallas Mavericks","Chicago Bulls"
"New York Knicks","Los Angeles Clippers"
"Denver Nuggets","Memphis Grizzlies"
"Indiana Pacers","Milwaukee Bucks"
"Detroit Pistons","Orlando Magic"
"Charlotte Hornets","Philadelphia 76ers"
"Oklahoma City Thunder","Phoenix Suns"
"Minnesota Timberwolves","Utah Jazz"
"Toronto Raptors","Washington Wizards"
"Denver Nuggets","Cleveland Cavaliers"
"Boston Celtics","Houston Rockets"
"Detroit Pistons","Miami Heat"
"Memphis Grizzlies","Orlando Magic"
"Oklahoma City Thunder","Portland Trail Blazers"
"Utah Jazz","Sacramento Kings"
"Los Angeles Lakers","San Antonio Spurs"
"Phoenix Suns","Atlanta Hawks"
"New Orleans Pelicans","Dallas Mavericks"
"Brooklyn Nets","Los Angeles Clippers"
"Philadelphia 76ers","Milwaukee Bucks"
"New York Knicks","Sacramento Kings"
"Charlotte Hornets","Toronto Raptors"
"Indiana Pacers","Washington Wizards"
"Boston Celtics","Chicago Bulls"
"Detroit Pistons","Cleveland Cavaliers"
"Milwaukee Bucks","Indiana Pacers"
"Portland Trail Blazers","Los Angeles Lakers"
"Phoenix Suns","Miami Heat"
"Memphis Grizzlies","San Antonio Spurs"
"Orlando Magic","Utah Jazz"
"Philadelphia 76ers","Charlotte Hornets"
"Denver Nuggets","Dallas Mavericks"
"Brooklyn Nets","Golden State Warriors"
"New Orleans Pelicans","Los Angeles Clippers"
"Houston Rockets","Oklahoma City Thunder"
"New York Knicks","Portland Trail Blazers"
"Atlanta Hawks","Toronto Raptors"
"Miami Heat","Washington Wizards"
"Memphis Grizzlies","Chicago Bulls"
"Cleveland Cavaliers","Denver Nuggets"
"Toronto Raptors","Detroit Pistons"
"Utah Jazz","Indiana Pacers"
"Orlando Magic","Los Angeles Lakers"
"Houston Rockets","Milwaukee Bucks"
"New Orleans Pelicans","Sacramento Kings"
"Brooklyn Nets","Charlotte Hornets"
"San Antonio Spurs","Golden State Warriors"
"Philadelphia 76ers","Miami Heat"
"Boston Celtics","Minnesota Timberwolves"
"Phoenix Suns","Oklahoma City Thunder"
"Los Angeles Lakers","Denver Nuggets"
"Chicago Bulls","Detroit Pistons"
"Atlanta Hawks","Indiana Pacers"
"Cleveland Cavaliers","Los Angeles Clippers"
"Utah Jazz","Memphis Grizzlies"
"New York Knicks","Milwaukee Bucks"
"Washington Wizards","New Orleans Pelicans"
"Golden State Warriors","Portland Trail Blazers"
"Orlando Magic","Sacramento Kings"
"Houston Rockets","Toronto Raptors"
"Phoenix Suns","Charlotte Hornets"
"Memphis Grizzlies","Dallas Mavericks"
"Orlando Magic","Los Angeles Clippers"
"Washington Wizards","Miami Heat"
"San Antonio Spurs","Oklahoma City Thunder"
"Chicago Bulls","Atlanta Hawks"
"Indiana Pacers","Boston Celtics"
"Philadelphia 76ers","Brooklyn Nets"
"Houston Rockets","Dallas Mavericks"
"Sacramento Kings","Denver Nuggets"
"Cleveland Cavaliers","Los Angeles Lakers"
"Golden State Warriors","Minnesota Timberwolves"
"Utah Jazz","New Orleans Pelicans"
"Toronto Raptors","New York Knicks"
"San Antonio Spurs","Houston Rockets"
"Milwaukee Bucks","Memphis Grizzlies"
"Sacramento Kings","Oklahoma City Thunder"
"Miami Heat","Portland Trail Blazers"
"Oklahoma City Thunder","Atlanta Hawks"
"Toronto Raptors","Brooklyn Nets"
"Los Angeles Clippers","Chicago Bulls"
"Denver Nuggets","Los Angeles Lakers"
"Charlotte Hornets","New Orleans Pelicans"
"Dallas Mavericks","New York Knicks"
"Indiana Pacers","Philadelphia 76ers"
"Cleveland Cavaliers","Phoenix Suns"
"Orlando Magic","San Antonio Spurs"
"Detroit Pistons","Utah Jazz"
"Minnesota Timberwolves","Washington Wizards"
"Washington Wizards","Boston Celtics"
"Los Angeles Lakers","Golden State Warriors"
"Milwaukee Bucks","Orlando Magic"
"Miami Heat","Sacramento Kings"
"Charlotte Hornets","Atlanta Hawks"
"Detroit Pistons","Denver Nuggets"
"Los Angeles Clippers","Houston Rockets"
"Toronto Raptors","Indiana Pacers"
"Chicago Bulls","Memphis Grizzlies"
"Philadelphia 76ers","New York Knicks"
"Cleveland Cavaliers","Portland Trail Blazers"
"New Orleans Pelicans","San Antonio Spurs"
"Phoenix Suns","Utah Jazz"
"Sacramento Kings","Golden State Warriors"
"Miami Heat","Los Angeles Lakers"
"Los Angeles Clippers","Oklahoma City Thunder"
"Boston Celtics","Orlando Magic"
"Brooklyn Nets","Philadelphia 76ers"
"Dallas Mavericks","Toronto Raptors"
"Dallas Mavericks","Brooklyn Nets"
"Cleveland Cavaliers","Chicago Bulls"
"Denver Nuggets","Memphis Grizzlies"
"Atlanta Hawks","Milwaukee Bucks"
"Houston Rockets","New Orleans Pelicans"
"Charlotte Hornets","New York Knicks"
"Golden State Warriors","Phoenix Suns"
"Detroit Pistons","Portland Trail Blazers"
"Minnesota Timberwolves","San Antonio Spurs"
"Sacramento Kings","Utah Jazz"
"Indiana Pacers","Washington Wizards"
"Portland Trail Blazers","Los Angeles Clippers"
"Houston Rockets","Minnesota Timberwolves"
"Boston Celtics","New Orleans Pelicans"
"Oklahoma City Thunder","Toronto Raptors"
"Memphis Grizzlies","Brooklyn Nets"
"Milwaukee Bucks","Cleveland Cavaliers"
"Los Angeles Lakers","Indiana Pacers"
"Denver Nuggets","Miami Heat"
"Chicago Bulls","New York Knicks"
"Charlotte Hornets","Philadelphia 76ers"
"Detroit Pistons","Sacramento Kings"
"Golden State Warriors","San Antonio Spurs"
"Oklahoma City Thunder","Boston Celtics"
"Los Angeles Clippers","Minnesota Timberwolves"
"Dallas Mavericks","New Orleans Pelicans"
"Toronto Raptors","Orlando Magic"
"Detroit Pistons","Phoenix Suns"
"Houston Rockets","Portland Trail Blazers"
"Atlanta Hawks","Utah Jazz"
"Charlotte Hornets","Brooklyn Nets"
"Denver Nuggets","Chicago Bulls"
"Toronto Raptors","Cleveland Cavaliers"
"New York Knicks","Miami Heat"
"Los Angeles Clippers","Milwaukee Bucks"
"Memphis Grizzlies","Philadelphia 76ers"
"Washington Wizards","San Antonio Spurs"
"Memphis Grizzlies","Charlotte Hornets"
"Utah Jazz","Dallas Mavericks"
"Detroit Pistons","Houston Rockets"
"Los Angeles Lakers","New Orleans Pelicans"
"Philadelphia 76ers","Orlando Magic"
"Atlanta Hawks","Sacramento Kings"
"Milwaukee Bucks","Chicago Bulls"
"Phoenix Suns","Cleveland Cavaliers"
"Atlanta Hawks","Golden State Warriors"
"Los Angeles Clippers","Indiana Pacers"
"Minnesota Timberwolves","New York Knicks"
"Miami Heat","Oklahoma City Thunder"
"Boston Celtics","Portland Trail Blazers"
"Utah Jazz","San Antonio Spurs"
"Brooklyn Nets","Toronto Raptors"
"Denver Nuggets","Washington Wizards"
"Charlotte Hornets","Dallas Mavericks"
"Chicago Bulls","Detroit Pistons"
"New Orleans Pelicans","Houston Rockets"
"Los Angeles Lakers","Memphis Grizzlies"
"Phoenix Suns","Orlando Magic"
"Minnesota Timberwolves","Philadelphia 76ers"
"Cleveland Cavaliers","Brooklyn Nets"
"Utah Jazz","Golden State Warriors"
"Atlanta Hawks","Houston Rockets"
"Miami Heat","Indiana Pacers"
"San Antonio Spurs","Milwaukee Bucks"
"Portland Trail Blazers","Oklahoma City Thunder"
"Boston Celtics","Sacramento Kings"
"Los Angeles Clippers","Toronto Raptors"
"New York Knicks","Washington Wizards"
"New York Knicks","Charlotte Hornets"
"Los Angeles Lakers","Detroit Pistons"
"Memphis Grizzlies","Minnesota Timberwolves"
"Denver Nuggets","Philadelphia 76ers"
"Boston Celtics","Phoenix Suns"
"Indiana Pacers","Golden State Warriors"
"Chicago Bulls","Houston Rockets"
"Milwaukee Bucks","Los Angeles Clippers"
"Cleveland Cavaliers","Miami Heat"
"Portland Trail Blazers","New Orleans Pelicans"
"Dallas Mavericks","Sacramento Kings"
"Denver Nuggets","Toronto Raptors"
"San Antonio Spurs","Washington Wizards"
"Cleveland Cavaliers","Charlotte Hornets"
"Dallas Mavericks","Los Angeles Lakers"
"Portland Trail Blazers","Memphis Grizzlies"
"Atlanta Hawks","Minnesota Timberwolves"
"Brooklyn Nets","Orlando Magic"
"New York Knicks","Philadelphia 76ers"
